iteration_number,pod_name,response_time
139,default/lookup-standard-00001-deployment-744474fb97-gcvgq,1.814326
140,default/lookup-standard-00001-deployment-65f96cc57d-cqkbj,1.808897
141,default/lookup-standard-00001-deployment-595c8856ff-8hfv7,1.815001
142,default/lookup-standard-00001-deployment-b997fdcfb-mx4r7,1.807816
143,default/lookup-standard-00001-deployment-9fbfb7b96-xrzql,1.808481
144,default/lookup-standard-00001-deployment-6dfb8c566-zjnrr,1.808068
145,default/lookup-standard-00001-deployment-7cccddfc74-7n6qq,1.801293
146,default/lookup-standard-00001-deployment-7c6dd67dd5-bgthp,1.804463
147,default/lookup-standard-00001-deployment-6787559644-vcdjr,1.807063
148,default/lookup-standard-00001-deployment-595556d9cb-cvqvt,1.809080
149,default/lookup-standard-00001-deployment-64466db9b7-4jdcw,1.818253
150,default/lookup-standard-00001-deployment-64bd9b9976-dq9gg,1.786210
151,default/lookup-standard-00001-deployment-776c456487-tggf4,1.802711
152,default/lookup-standard-00001-deployment-865599dfb7-nb9vp,1.806961
153,default/lookup-standard-00001-deployment-ddcf6c465-htqnb,1.812768
154,default/lookup-standard-00001-deployment-8569bcbd98-df4g7,1.811193
155,default/lookup-standard-00001-deployment-58c4f7c64-2kqhz,1.808834
156,default/lookup-standard-00001-deployment-b75b89c69-gp67j,1.800116
157,default/lookup-standard-00001-deployment-5fc949c78f-4zl97,1.808244
158,default/lookup-standard-00001-deployment-d44b95688-xmr7r,1.808898
159,default/lookup-standard-00001-deployment-8676876476-s67rm,1.812526
160,default/lookup-standard-00001-deployment-5f876c9c69-m5nlg,1.803059
161,default/lookup-standard-00001-deployment-f5d87f48d-lmclh,1.807657
162,default/lookup-standard-00001-deployment-6c5cd95b44-j4gl9,1.805919
163,default/lookup-standard-00001-deployment-5cd844d947-sw4fb,1.801070
164,default/lookup-standard-00001-deployment-8cbcc4497-rt2jf,1.802221
165,default/lookup-standard-00001-deployment-6ff67c7948-f4wpz,1.802238
166,default/lookup-standard-00001-deployment-589445bf9-2gfb9,1.801092
167,default/lookup-standard-00001-deployment-7bc5bb554f-8hnjt,1.806485
168,default/lookup-standard-00001-deployment-5cd5b67ff5-gxg2m,1.795635
169,default/lookup-standard-00001-deployment-78cf5b447d-kf5n7,1.808926
