iteration_number,pod_name,total_time_taken
111,default/lookup-standard-00001-deployment-76d8d8578-522g5,2.072566962s
112,default/lookup-standard-00001-deployment-d4fd7b4d8-mj82b,2.152561265s
113,default/lookup-standard-00001-deployment-b88c5cc44-4pvr2,2.237198076s
114,default/lookup-standard-00001-deployment-ccdc84df7-shzt6,2.320868375s
115,default/lookup-standard-00001-deployment-797cb454cf-2bbst,2.418971934s
116,default/lookup-standard-00001-deployment-6fd6f5586f-g7hks,1.484180758s
117,default/lookup-standard-00001-deployment-645d6cb4b-vwp55,1.579738202s
118,default/lookup-standard-00001-deployment-8698b5c9d4-f2pbk,1.665925387s
119,default/lookup-standard-00001-deployment-6d9bd98bd6-6px52,1.747199194s
120,default/lookup-standard-00001-deployment-66b646b9b7-cjmr4,1.827217134s
121,default/lookup-standard-00001-deployment-799ff69b5-6q8h5,1.913465546s
122,default/lookup-standard-00001-deployment-57bfc7f8d8-4fzdc,1.99487745s
123,default/lookup-standard-00001-deployment-567ff748-gk5tk,2.078577529s
124,default/lookup-standard-00001-deployment-558b5fdb84-kjlbx,2.165430217s
125,default/lookup-standard-00001-deployment-9576c5798-8d9g2,2.250192618s
126,default/lookup-standard-00001-deployment-654b4d7788-6d4fj,1.333736271s
127,default/lookup-standard-00001-deployment-7cb4957fcd-ml7d9,1.423956719s
128,default/lookup-standard-00001-deployment-75b58458bb-vdw72,1.507064594s
129,default/lookup-standard-00001-deployment-f749567c7-fk9gr,1.592152742s
130,default/lookup-standard-00001-deployment-89b487cb4-bttdw,1.680887425s
131,default/lookup-standard-00001-deployment-67846ccb6-xs85z,1.761497686s
132,default/lookup-standard-00001-deployment-85c5d9b485-t5zxf,1.84403619s
133,default/lookup-standard-00001-deployment-779d48975f-zslw8,1.924037698s
134,default/lookup-standard-00001-deployment-5478b8fbd9-xk6gq,2.007726667s
135,default/lookup-standard-00001-deployment-58dff8958f-55kjb,2.092332397s
136,default/lookup-standard-00001-deployment-84bc5c88f7-m6m2p,2.176945792s
137,default/lookup-standard-00001-deployment-7cdccdd5fb-bqplv,2.261421828s
138,default/lookup-standard-00001-deployment-79f8dbcfc9-88zr7,1.343945941s
139,default/lookup-standard-00001-deployment-744474fb97-gcvgq,1.433995516s
140,default/lookup-standard-00001-deployment-65f96cc57d-cqkbj,1.518226722s
141,default/lookup-standard-00001-deployment-595c8856ff-8hfv7,1.603619154s
142,default/lookup-standard-00001-deployment-b997fdcfb-mx4r7,1.68875198s
143,default/lookup-standard-00001-deployment-9fbfb7b96-xrzql,1.775310323s
144,default/lookup-standard-00001-deployment-6dfb8c566-zjnrr,1.859822977s
145,default/lookup-standard-00001-deployment-7cccddfc74-7n6qq,1.938478087s
146,default/lookup-standard-00001-deployment-7c6dd67dd5-bgthp,2.020690118s
147,default/lookup-standard-00001-deployment-6787559644-vcdjr,2.104251887s
148,default/lookup-standard-00001-deployment-595556d9cb-cvqvt,2.190969421s
149,default/lookup-standard-00001-deployment-64466db9b7-4jdcw,2.274899995s
150,default/lookup-standard-00001-deployment-64bd9b9976-dq9gg,1.353180246s
151,default/lookup-standard-00001-deployment-776c456487-tggf4,1.434861763s
152,default/lookup-standard-00001-deployment-865599dfb7-nb9vp,1.519435089s
153,default/lookup-standard-00001-deployment-ddcf6c465-htqnb,1.6090704s
154,default/lookup-standard-00001-deployment-8569bcbd98-df4g7,1.696393858s
155,default/lookup-standard-00001-deployment-58c4f7c64-2kqhz,1.783574519s
156,default/lookup-standard-00001-deployment-b75b89c69-gp67j,1.864679992s
157,default/lookup-standard-00001-deployment-5fc949c78f-4zl97,1.950573063s
158,default/lookup-standard-00001-deployment-d44b95688-xmr7r,2.034794737s
159,default/lookup-standard-00001-deployment-8676876476-s67rm,2.122775127s
160,default/lookup-standard-00001-deployment-5f876c9c69-m5nlg,2.205590948s
161,default/lookup-standard-00001-deployment-f5d87f48d-lmclh,2.291815043s
162,default/lookup-standard-00001-deployment-6c5cd95b44-j4gl9,1.373591174s
163,default/lookup-standard-00001-deployment-5cd844d947-sw4fb,1.454611419s
164,default/lookup-standard-00001-deployment-8cbcc4497-rt2jf,1.537940664s
165,default/lookup-standard-00001-deployment-6ff67c7948-f4wpz,1.618165569s
166,default/lookup-standard-00001-deployment-589445bf9-2gfb9,1.699330711s
167,default/lookup-standard-00001-deployment-7bc5bb554f-8hnjt,1.786064159s
168,default/lookup-standard-00001-deployment-5cd5b67ff5-gxg2m,1.86332908s
169,default/lookup-standard-00001-deployment-78cf5b447d-kf5n7,1.946504656s
170,default/lookup-standard-00001-deployment-78bd974889-4zq47,2.031565308s
171,default/lookup-standard-00001-deployment-c6b4b7f77-wns67,2.116587565s
172,default/lookup-standard-00001-deployment-64c895ff5b-486vc,2.203258117s
173,default/lookup-standard-00001-deployment-557d45b666-crtkt,2.292135395s
174,default/lookup-standard-00001-deployment-6fc9dfc867-gkc5j,1.370266929s
175,default/lookup-standard-00001-deployment-69f9dfcbfd-m58tg,1.453581385s
176,default/lookup-standard-00001-deployment-7556d77658-krr96,1.53453937s
177,default/lookup-standard-00001-deployment-b59c7c85c-s4kmm,1.616244007s
178,default/lookup-standard-00001-deployment-874576bd4-74rcv,1.703198805s
179,default/lookup-standard-00001-deployment-59dc4b85dc-kv4xt,1.791193854s
180,default/lookup-standard-00001-deployment-5b9c87d6f-n6k5g,1.876046551s
181,default/lookup-standard-00001-deployment-7649b6d54-7rfct,1.964743154s
182,default/lookup-standard-00001-deployment-69b69dfcd4-xcm4v,2.041617938s
183,default/lookup-standard-00001-deployment-748bc4d6ff-rbg2w,2.123921178s
184,default/lookup-standard-00001-deployment-64f45df45c-qg4mh,2.210515915s
185,default/lookup-standard-00001-deployment-f4b56685d-svzzp,2.289961298s
186,default/lookup-standard-00001-deployment-5df68dc6d7-lj2kq,1.369717945s
187,default/lookup-standard-00001-deployment-6dd9bcf65c-hk4zk,1.450660213s
188,default/lookup-standard-00001-deployment-c64c58d7f-nfkvs,1.53544603s
189,default/lookup-standard-00001-deployment-f584bfb-bsx5t,1.619075423s
190,default/lookup-standard-00001-deployment-6ff8b68fb7-zt2jp,1.704016448s
191,default/lookup-standard-00001-deployment-855c6b5f4f-dvbhr,1.785149633s
192,default/lookup-standard-00001-deployment-ffd75459-hcsjr,1.865166592s
193,default/lookup-standard-00001-deployment-66cd6b75d6-jq62v,1.95279756s
194,default/lookup-standard-00001-deployment-844c6589b-hq2l5,2.039693948s
195,default/lookup-standard-00001-deployment-7c6cd5694c-5sk27,2.123251957s
196,default/lookup-standard-00001-deployment-7dcd56dcff-l9rgd,2.208717657s
197,default/lookup-standard-00001-deployment-69c57ccc54-fxn7x,2.292673423s
198,default/lookup-standard-00001-deployment-bbb48874-g7kmh,1.380649957s
199,default/lookup-standard-00001-deployment-759bddd4db-zkzfd,1.465952318s
200,default/lookup-standard-00001-deployment-57bc9464d8-k974k,1.54648539s
